,ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered,Method
0,Null,VEH_48,1,O_9,2023-05-01 00:00,0, ,2023-05-01 00:00,Null,1
1,M18434024,VEH_48,2,D_301,2023-05-01 00:22,0,60,2023-05-01 01:22,Yes,
2,M18434020,VEH_48,3,D_301,2023-05-01 00:22,0,60,2023-05-01 01:22,Yes,
3,Null,VEH_47,1,O_9,2023-05-01 00:00,0, ,2023-05-01 00:00,Null,1
4,MF2305036201264,VEH_47,2,D_1180,2023-05-01 00:17,0,60,2023-05-01 01:17,Yes,
5,MF2304276176045,VEH_47,3,D_1180,2023-05-01 00:17,0,60,2023-05-01 01:17,Yes,
6,Null,VEH_96,1,O_11,2023-05-01 00:00,0, ,2023-05-01 00:00,Null,1
7,20230501B467468_001,VEH_96,2,D_1,2023-05-01 01:40,0,60,2023-05-01 02:40,Yes,
8,20230501B464961_001,VEH_96,3,D_1,2023-05-01 01:40,0,60,2023-05-01 02:40,Yes,
9,Null,VEH_99,1,O_11,2023-05-01 00:00,0, ,2023-05-01 00:00,Null,1
10,20230501B468288_001,VEH_99,2,D_1,2023-05-01 01:40,0,60,2023-05-01 02:40,Yes,
11,20230501B468284_001,VEH_99,3,D_1,2023-05-01 01:40,0,60,2023-05-01 02:40,Yes,
12,Null,VEH_547,1,O_323,2023-05-01 00:00,0, ,2023-05-01 00:00,Null,1
13,20230501B467954_001,VEH_547,2,D_109,2023-05-01 01:19,0,60,2023-05-01 02:19,Yes,
14,20230501B467912_001,VEH_547,3,D_109,2023-05-01 01:19,0,60,2023-05-01 02:19,Yes,
15,Null,VEH_624,1,O_326,2023-05-01 00:00,0, ,2023-05-01 00:00,Null,1
16,20230501B467173_001,VEH_624,2,D_1,2023-05-01 01:25,0,60,2023-05-01 02:25,Yes,
17,20230501B467987_001,VEH_624,3,D_1,2023-05-01 01:25,0,60,2023-05-01 02:25,Yes,
18,20230501B468165_001,VEH_624,4,D_1,2023-05-01 01:25,0,60,2023-05-01 02:25,Yes,
19,20230501B464949_001,VEH_624,5,D_1,2023-05-01 01:25,0,60,2023-05-01 02:25,Yes,
20,Null,VEH_623,1,O_326,2023-05-01 00:00,0, ,2023-05-01 00:00,Null,1
21,20230501B467183_001,VEH_623,2,D_109,2023-05-01 01:51,0,60,2023-05-01 02:51,Yes,
22,20230501B468175_001,VEH_623,3,D_109,2023-05-01 01:51,0,60,2023-05-01 02:51,Yes,
23,Null,VEH_622,1,O_326,2023-05-01 00:00,0, ,2023-05-01 00:00,Null,1
24,20230501B467991_001,VEH_622,2,D_109,2023-05-01 01:51,0,60,2023-05-01 02:51,Yes,
25,20230501B468251_001,VEH_622,3,D_109,2023-05-01 01:51,0,60,2023-05-01 02:51,Yes,
